campaign_id,campaign_name,channel,start_date,end_date,impressions,clicks,conversions,cost,revenue,audience_size,age_group,device_type
C001,Summer Sale 2024,Email,2024-01-01,2024-01-31,150000,4500,450,2500,22500,80000,25-34,Desktop
C002,Spring Promo,Social Media,2024-01-05,2024-01-20,500000,12500,1250,5000,62500,200000,18-24,Mobile
C003,Product Launch,Search,2024-01-10,2024-02-10,350000,8750,875,7500,43750,150000,35-44,Desktop
C004,Brand Awareness,Display,2024-01-15,2024-02-15,1200000,18000,900,6000,45000,400000,25-44,Mobile
C005,Retargeting,Email,2024-01-08,2024-01-22,120000,5400,675,3000,33750,60000,35-54,Desktop
C006,Winter Campaign,Video,2024-01-01,2024-02-01,800000,16000,1200,10000,60000,300000,25-54,Mobile
C007,Flash Sale,Social Media,2024-01-12,2024-01-14,300000,9000,1350,2000,67500,100000,18-34,Mobile
C008,Bundle Deal,Email,2024-01-18,2024-02-01,180000,7200,720,2500,36000,90000,35-54,Desktop
C009,Seasonal,Search,2024-01-20,2024-02-20,400000,10000,800,8000,40000,160000,25-44,Desktop
C010,Holiday Special,Display,2024-01-05,2024-01-31,950000,14250,1140,9000,57000,350000,18-54,Mobile
C011,New Customer,Social Media,2024-01-25,2024-02-10,420000,10500,945,4500,47250,180000,18-34,Mobile
C012,Loyalty Program,Email,2024-01-22,2024-02-22,140000,4200,336,2000,16800,70000,35-54,Desktop
C013,Influencer,Social Media,2024-01-28,2024-02-15,600000,15000,1800,6000,90000,250000,18-24,Mobile
C014,Referral,Email,2024-01-20,2024-02-20,160000,6400,512,2000,25600,80000,25-44,Desktop
C015,Anniversary,Display,2024-01-10,2024-02-10,1100000,16500,1320,10000,66000,380000,25-54,Mobile
C016,Partnership,Search,2024-02-01,2024-02-28,350000,8750,700,7000,35000,140000,35-44,Desktop
C017,Cyber Monday,Social Media,2024-01-30,2024-02-15,700000,17500,2100,8000,105000,300000,18-44,Mobile
C018,Black Friday,Display,2024-01-25,2024-02-28,1300000,19500,1560,12000,78000,450000,25-54,Mobile
C019,Mobile App,Social Media,2024-02-05,2024-02-28,480000,12000,1200,5000,60000,200000,18-34,Mobile
C020,Website Traffic,Search,2024-02-10,2024-03-10,300000,9000,900,6000,45000,120000,25-54,Desktop
